SysEx ID Number (MMA format),Company Name ,# of bytes,Dec 1b,Dec 2b,Dec 3b
00H,[Used for ID Extensions],,,,
60H to 7FH,[Reserved for Other Uses],,,,
01H,Sequential Circuits,1,1,,
02H,IDP,1,2,,
03H,"Voyetra Turtle Beach, Inc.",1,3,,
04H,Moog Music,1,4,,
05H,Passport Designs,1,5,,
06H,Lexicon Inc.,1,6,,
07H,Kurzweil / Young Chang,1,7,,
08H,Fender,1,8,,
09H,MIDI9,1,9,,
0AH,AKG Acoustics,1,10,,
0BH,Voyce Music,1,11,,
0CH,WaveFrame (Timeline),1,12,,
0DH,"ADA Signal Processors, Inc.",1,13,,
0EH,Garfield Electronics,1,14,,
0FH,Ensoniq,1,15,,
10H,Oberheim / Gibson Labs,1,16,,
11H,Apple,1,17,,
12H,Grey Matter Response,1,18,,
13H,Digidesign Inc.,1,19,,
14H,Palmtree Instruments,1,20,,
15H,JLCooper Electronics,1,21,,
16H,Lowrey Organ Company,1,22,,
17H,Adams-Smith,1,23,,
18H,E-mu,1,24,,
19H,Harmony Systems,1,25,,
1AH,ART,1,26,,
1BH,Baldwin,1,27,,
1CH,Eventide,1,28,,
1DH,Inventronics,1,29,,
1EH,Key Concepts,1,30,,
1FH,Clarity,1,31,,
20H,Passac,1,32,,
21H,Proel Labs (SIEL),1,33,,
22H,Synthaxe (UK),1,34,,
23H,Stepp,1,35,,
24H,Hohner,1,36,,
25H,Twister,1,37,,
26H,Ketron s.r.l.,1,38,,
27H,Jellinghaus MS,1,39,,
28H,Southworth Music Systems,1,40,,
29H,PPG (Germany),1,41,,
2AH,JEN,1,42,,
2BH,Solid State Logic Organ Systems,1,43,,
2CH,Audio Veritrieb-P. Struven,1,44,,
2DH,Neve,1,45,,
2EH,Soundtracs Ltd.,1,46,,
2FH,Elka,1,47,,
30H,Dynacord,1,48,,
31H,Viscount International Spa,1,49,,
32H,Drawmer,1,50,,
33H,Clavia Digital Instruments,1,51,,
34H,Audio Architecture,1,52,,
35H,Generalmusic Corp SpA,1,53,,
36H,Cheetah Marketing,1,54,,
37H,C.T.M.,1,55,,
38H,Simmons UK,1,56,,
39H,Soundcraft Electronics,1,57,,
3AH,Steinberg Media Technologies GmbH,1,58,,
3BH,Wersi Gmbh,1,59,,
3CH,AVAB Niethammer AB,1,60,,
3DH,Digigram,1,61,,
3EH,Waldorf Electronics GmbH,1,62,,
3FH,Quasimidi,1,63,,
40H,Kawai Musical Instruments MFG. CO. Ltd,1,64,,
41H,Roland Corporation,1,65,,
42H,Korg Inc.,1,66,,
43H,Yamaha Corporation,1,67,,
44H,Casio Computer Co. Ltd,1,68,,
46H,Kamiya Studio Co. Ltd,1,70,,
47H,Akai Electric Co. Ltd.,1,71,,
48H,"Victor Company of Japan, Ltd.",1,72,,
4BH,Fujitsu Limited,1,75,,
4CH,Sony Corporation,1,76,,
4EH,Teac Corporation,1,78,,
50H,"Matsushita Electric Industrial Co. , Ltd",1,80,,
51H,Fostex Corporation,1,81,,
52H,Zoom Corporation,1,82,,
54H,"Matsushita Communication Industrial Co., Ltd.",1,84,,
55H,"Suzuki Musical Instruments MFG. Co., Ltd.",1,85,,
56H,Fuji Sound Corporation Ltd.,1,86,,
57H,"Acoustic Technical Laboratory, Inc.",1,87,,
59H,"Faith, Inc.",1,89,,
5AH,Internet Corporation,1,90,,
5CH,Seekers Co. Ltd.,1,92,,
5FH,SD Card Association,1,95,,
00H 00H 01H,Time/Warner Interactive,3,0,0,1
00H 00H 02H,Advanced Gravis Comp. Tech Ltd.,3,0,0,2
00H 00H 03H,Media Vision,3,0,0,3
00H 00H 04H,Dornes Research Group,3,0,0,4
00H 00H 05H,K-Muse,3,0,0,5
00H 00H 06H,Stypher,3,0,0,6
00H 00H 07H,Digital Music Corp.,3,0,0,7
00H 00H 08H,IOTA Systems,3,0,0,8
00H 00H 09H,New England Digital,3,0,0,9
00H 00H 0AH,Artisyn,3,0,0,10
00H 00H 0BH,IVL Technologies Ltd.,3,0,0,11
00H 00H 0CH,Southern Music Systems,3,0,0,12
00H 00H 0DH,Lake Butler Sound Company,3,0,0,13
00H 00H 0EH,Alesis Studio Electronics,3,0,0,14
00H 00H 0FH,Sound Creation,3,0,0,15
00H 00H 10H,DOD Electronics Corp.,3,0,0,16
00H 00H 11H,Studer-Editech,3,0,0,17
00H 00H 12H,Sonus,3,0,0,18
00H 00H 13H,Temporal Acuity Products,3,0,0,19
00H 00H 14H,Perfect Fretworks,3,0,0,20
00H 00H 15H,KAT Inc.,3,0,0,21
00H 00H 16H,Opcode Systems,3,0,0,22
00H 00H 17H,Rane Corporation,3,0,0,23
00H 00H 18H,Anadi Electronique,3,0,0,24
00H 00H 19H,KMX,3,0,0,25
00H 00H 1AH,Allen & Heath Brenell,3,0,0,26
00H 00H 1BH,Peavey Electronics,3,0,0,27
00H 00H 1CH,360 Systems,3,0,0,28
00H 00H 1DH,Spectrum Design and Development,3,0,0,29
00H 00H 1EH,Marquis Music,3,0,0,30
00H 00H 1FH,Zeta Systems,3,0,0,31
00H 00H 20H,Axxes (Brian Parsonett),3,0,0,32
00H 00H 21H,Orban,3,0,0,33
00H 00H 22H,Indian Valley Mfg.,3,0,0,34
00H 00H 23H,Triton,3,0,0,35
00H 00H 24H,KTI,3,0,0,36
00H 00H 25H,Breakaway Technologies,3,0,0,37
00H 00H 26H,Leprecon / CAE Inc.,3,0,0,38
00H 00H 27H,Harrison Systems Inc.,3,0,0,39
00H 00H 28H,Future Lab/Mark Kuo,3,0,0,40
00H 00H 29H,Rocktron Corporation,3,0,0,41
00H 00H 2AH,PianoDisc,3,0,0,42
00H 00H 2BH,Cannon Research Group,3,0,0,43
00H 00H 2CH,Reserved,3,0,0,44
00H 00H 2DH,Rodgers Instrument LLC,3,0,0,45
00H 00H 2EH,Blue Sky Logic,3,0,0,46
00H 00H 2FH,Encore Electronics,3,0,0,47
00H 00H 30H,Uptown,3,0,0,48
00H 00H 31H,Voce,3,0,0,49
00H 00H 32H,"CTI Audio, Inc. (Musically Intel. Devs.)",3,0,0,50
00H 00H 33H,S3 Incorporated,3,0,0,51
00H 00H 34H,Broderbund / Red Orb,3,0,0,52
00H 00H 35H,Allen Organ Co.,3,0,0,53
00H 00H 36H,Reserved,3,0,0,54
00H 00H 37H,Music Quest,3,0,0,55
00H 00H 38H,Aphex,3,0,0,56
00H 00H 39H,Gallien Krueger,3,0,0,57
00H 00H 3AH,IBM,3,0,0,58
00H 00H 3BH,Mark Of The Unicorn,3,0,0,59
00H 00H 3CH,Hotz Corporation,3,0,0,60
00H 00H 3DH,ETA Lighting,3,0,0,61
00H 00H 3EH,NSI Corporation,3,0,0,62
00H 00H 3FH,"Ad Lib, Inc.",3,0,0,63
00H 00H 40H,Richmond Sound Design,3,0,0,64
00H 00H 41H,Microsoft,3,0,0,65
00H 00H 42H,Mindscape (Software Toolworks),3,0,0,66
00H 00H 43H,Russ Jones Marketing / Niche,3,0,0,67
00H 00H 44H,Intone,3,0,0,68
00H 00H 45H,Advanced Remote Technologies,3,0,0,69
00H 00H 46H,White Instruments,3,0,0,70
00H 00H 47H,GT Electronics/Groove Tubes,3,0,0,71
00H 00H 48H,Pacific Research & Engineering,3,0,0,72
00H 00H 49H,"Timeline Vista, Inc.",3,0,0,73
00H 00H 4AH,Mesa Boogie Ltd.,3,0,0,74
00H 00H 4BH,FSLI,3,0,0,75
00H 00H 4CH,Sequoia Development Group,3,0,0,76
00H 00H 4DH,Studio Electronics,3,0,0,77
00H 00H 4EH,"Euphonix, Inc",3,0,0,78
00H 00H 4FH,"InterMIDI, Inc.",3,0,0,79
00H 00H 50H,MIDI Solutions Inc.,3,0,0,80
00H 00H 51H,3DO Company,3,0,0,81
00H 00H 52H,Lightwave Research / High End Systems,3,0,0,82
00H 00H 53H,Micro-W Corporation,3,0,0,83
00H 00H 54H,"Spectral Synthesis, Inc.",3,0,0,84
00H 00H 55H,Lone Wolf,3,0,0,85
00H 00H 56H,Studio Technologies Inc.,3,0,0,86
00H 00H 57H,"Peterson Electro-Musical Product, Inc.",3,0,0,87
00H 00H 58H,Atari Corporation,3,0,0,88
00H 00H 59H,Marion Systems Corporation,3,0,0,89
00H 00H 5AH,Design Event,3,0,0,90
00H 00H 5BH,Winjammer Software Ltd.,3,0,0,91
00H 00H 5CH,AT&T Bell Laboratories,3,0,0,92
00H 00H 5DH,Reserved,3,0,0,93
00H 00H 5EH,Symetrix,3,0,0,94
00H 00H 5FH,MIDI the World,3,0,0,95
00H 00H 60H,Spatializer,3,0,0,96
00H 00H 61H,Micros 'N MIDI,3,0,0,97
00H 00H 62H,Accordians International,3,0,0,98
00H 00H 63H,EuPhonics (now 3Com),3,0,0,99
00H 00H 64H,Musonix,3,0,0,100
00H 00H 65H,Turtle Beach Systems (Voyetra),3,0,0,101
00H 00H 66H,Loud Technologies / Mackie,3,0,0,102
00H 00H 67H,Compuserve,3,0,0,103
00H 00H 68H,BEC Technologies,3,0,0,104
00H 00H 69H,QRS Music Inc,3,0,0,105
00H 00H 6AH,P.G. Music,3,0,0,106
00H 00H 6BH,Sierra Semiconductor,3,0,0,107
00H 00H 6CH,EpiGraf,3,0,0,108
00H 00H 6DH,Electronics Diversified Inc,3,0,0,109
00H 00H 6EH,Tune 1000,3,0,0,110
00H 00H 6FH,Advanced Micro Devices,3,0,0,111
00H 00H 70H,Mediamation,3,0,0,112
00H 00H 71H,Sabine Musical Mfg. Co. Inc.,3,0,0,113
00H 00H 72H,Woog Labs,3,0,0,114
00H 00H 73H,Micropolis Corp,3,0,0,115
00H 00H 74H,Ta Horng Musical Instrument,3,0,0,116
00H 00H 75H,e-Tek Labs (Forte Tech),3,0,0,117
00H 00H 76H,Electro-Voice,3,0,0,118
00H 00H 77H,Midisoft Corporation,3,0,0,119
00H 00H 78H,QSound Labs,3,0,0,120
00H 00H 79H,Westrex,3,0,0,121
00H 00H 7AH,Nvidia,3,0,0,122
00H 00H 7BH,ESS Technology,3,0,0,123
00H 00H 7CH,Media Trix Peripherals,3,0,0,124
00H 00H 7DH,Brooktree Corp,3,0,0,125
00H 00H 7EH,Otari Corp,3,0,0,126
00H 00H 7FH,"Key Electronics, Inc.",3,0,0,127
00H 01H 00H,Shure Incorporated,3,0,1,0
00H 01H 01H,AuraSound,3,0,1,1
00H 01H 02H,Crystal Semiconductor,3,0,1,2
00H 01H 03H,Conexant (Rockwell),3,0,1,3
00H 01H 04H,Silicon Graphics,3,0,1,4
00H 01H 05H,M-Audio (Midiman),3,0,1,5
00H 01H 06H,PreSonus,3,0,1,6
00H 01H 08H,Topaz Enterprises,3,0,1,8
00H 01H 09H,Cast Lighting,3,0,1,9
00H 01H 0AH,Microsoft Consumer Division,3,0,1,10
00H 01H 0BH,Sonic Foundry,3,0,1,11
00H 01H 0CH,Line 6 (Fast Forward) (Yamaha),3,0,1,12
00H 01H 0DH,Beatnik Inc,3,0,1,13
00H 01H 0EH,Van Koevering Company,3,0,1,14
00H 01H 0FH,Altech Systems,3,0,1,15
00H 01H 10H,S & S Research,3,0,1,16
00H 01H 11H,VLSI Technology,3,0,1,17
00H 01H 12H,Chromatic Research,3,0,1,18
00H 01H 13H,Sapphire,3,0,1,19
00H 01H 14H,IDRC,3,0,1,20
00H 01H 15H,Justonic Tuning,3,0,1,21
00H 01H 16H,TorComp Research Inc.,3,0,1,22
00H 01H 17H,Newtek Inc.,3,0,1,23
00H 01H 18H,Sound Sculpture,3,0,1,24
00H 01H 19H,Walker Technical,3,0,1,25
00H 01H 1AH,Digital Harmony (PAVO),3,0,1,26
00H 01H 1BH,InVision Interactive,3,0,1,27
00H 01H 1CH,T-Square Design,3,0,1,28
00H 01H 1DH,Nemesys Music Technology,3,0,1,29
00H 01H 1EH,DBX Professional (Harman Intl),3,0,1,30
00H 01H 1FH,Syndyne Corporation,3,0,1,31
00H 01H 20H,Bitheadz,3,0,1,32
00H 01H 21H,BandLab Technologies,3,0,1,33
00H 01H 22H,Analog Devices,3,0,1,34
00H 01H 23H,National Semiconductor,3,0,1,35
00H 01H 24H,Boom Theory / Adinolfi Alternative Percussion,3,0,1,36
00H 01H 25H,Virtual DSP Corporation,3,0,1,37
00H 01H 26H,Antares Systems,3,0,1,38
00H 01H 27H,Angel Software,3,0,1,39
00H 01H 28H,St Louis Music,3,0,1,40
00H 01H 29H,Passport Music Software LLC (Gvox),3,0,1,41
00H 01H 2AH,Ashley Audio Inc.,3,0,1,42
00H 01H 2BH,Vari-Lite Inc.,3,0,1,43
00H 01H 2CH,Summit Audio Inc.,3,0,1,44
00H 01H 2DH,Aureal Semiconductor Inc.,3,0,1,45
00H 01H 2EH,SeaSound LLC,3,0,1,46
00H 01H 2FH,U.S. Robotics,3,0,1,47
00H 01H 30H,Aurisis Research,3,0,1,48
00H 01H 31H,Nearfield Research,3,0,1,49
00H 01H 32H,FM7 Inc,3,0,1,50
00H 01H 33H,Swivel Systems,3,0,1,51
00H 01H 34H,Hyperactive Audio Systems,3,0,1,52
00H 01H 35H,MidiLite (Castle Studios Productions),3,0,1,53
00H 01H 36H,Radikal Technologies,3,0,1,54
00H 01H 37H,Roger Linn Design,3,0,1,55
00H 01H 38H,TC-Helicon Vocal Technologies,3,0,1,56
00H 01H 39H,Event Electronics,3,0,1,57
00H 01H 3AH,Sonic Network Inc,3,0,1,58
00H 01H 3BH,Realtime Music Solutions,3,0,1,59
00H 01H 3CH,Apogee Digital,3,0,1,60
00H 01H 3DH,"Classical Organs, Inc.",3,0,1,61
00H 01H 3EH,Microtools Inc.,3,0,1,62
00H 01H 3FH,Numark Industries,3,0,1,63
00H 01H 40H,"Frontier Design Group, LLC",3,0,1,64
00H 01H 41H,Recordare LLC,3,0,1,65
00H 01H 42H,Starr Labs,3,0,1,66
00H 01H 43H,Voyager Sound Inc.,3,0,1,67
00H 01H 44H,Manifold Labs,3,0,1,68
00H 01H 45H,Aviom Inc.,3,0,1,69
00H 01H 46H,Mixmeister Technology,3,0,1,70
00H 01H 47H,Notation Software,3,0,1,71
00H 01H 48H,Mercurial Communications,3,0,1,72
00H 01H 49H,Wave Arts,3,0,1,73
00H 01H 4AH,Logic Sequencing Devices,3,0,1,74
00H 01H 4BH,Axess Electronics,3,0,1,75
00H 01H 4CH,Muse Research,3,0,1,76
00H 01H 4DH,Open Labs,3,0,1,77
00H 01H 4EH,Guillemot Corp,3,0,1,78
00H 01H 4FH,Samson Technologies,3,0,1,79
00H 01H 50H,Electronic Theatre Controls,3,0,1,80
00H 01H 51H,Blackberry (RIM),3,0,1,81
00H 01H 52H,Mobileer,3,0,1,82
00H 01H 53H,Synthogy,3,0,1,83
00H 01H 54H,Lynx Studio Technology Inc.,3,0,1,84
00H 01H 55H,Damage Control Engineering LLC,3,0,1,85
00H 01H 56H,"Yost Engineering, Inc.",3,0,1,86
00H 01H 57H,Brooks & Forsman Designs LLC / DrumLite,3,0,1,87
00H 01H 58H,Infinite Response,3,0,1,88
00H 01H 59H,Garritan Corp,3,0,1,89
00H 01H 5AH,"Plogue Art et Technologie, Inc",3,0,1,90
00H 01H 5BH,RJM Music Technology,3,0,1,91
00H 01H 5CH,Custom Solutions Software,3,0,1,92
00H 01H 5DH,Sonarcana LLC / Highly Liquid,3,0,1,93
00H 01H 5EH,Centrance,3,0,1,94
00H 01H 5FH,Kesumo LLC,3,0,1,95
